product_title,product_id,product_price,product_rating,product_colors,product_site
TWSBI ECO Fountain Pen - Transparent Purple,TW-M7447640,32.99,,"Black,Caffè Bronze,Cerulean,Clear,Creme w/ RoseGold,Cerulean,Glow Green,Glow Purple,Heat,Indigo Blue,Persian Green,Smoke RoseGold,Blue,Purple,Yellow,White,White RoseGold",gouletpens.com
Pilot Metropolitan Fountain Pen - Gold Plain,PN91112,25.42,4.9,"Black Crocodile,Black Plain,Bronze Lizard,Gold Plain,Gold Zig-Zag,Retro Pop Gray,Retro Pop Green,Retro Pop Orange,Retro Pop Purple,Retro Pop Red,Retro Pop Turquoise,Silver Dots,Silver Plain,Violet Leopard,White Tiger",gouletpens.com
TWSBI ECO-T Fountain Pen - Mint Blue,TW-M7447520,32.99,,"Clear,Mint Blue,Rosso,Saffron,Clear",gouletpens.com
Noodler's Nib Creaper Flex Fountain Pen - Clear,N17000,17.45,,"Ahab's Pearl,Arizona,Cardinal Darkness,Carniolan Honey,Clear,Green Mountain,Hudson Bay,Ivory Darkness,Jade,King Philip Purple,Medieval Lapis,Vulcan's Coral",gouletpens.com
Platinum Preppy Fountain Pen - Red,Plat-PSQ-300-11-2,6.00,4.4,"Black,Blue,Crystal,Green,Pink,Red,Violet,Urokomon,Fukura Suzume",gouletpens.com
Platinum Preppy Fountain Pen - Crystal,Plat-PSQC-400-04-2,7.00,4.4,"Black,Blue,Crystal,Green,Pink,Red,Violet,Urokomon,Fukura Suzume",gouletpens.com
Pilot Metropolitan Fountain Pen - Retro Pop Green,PN91431,25.42,4.9,"Black Crocodile,Black Plain,Bronze Lizard,Gold Plain,Gold Zig-Zag,Retro Pop Gray,Retro Pop Green,Retro Pop Orange,Retro Pop Purple,Retro Pop Red,Retro Pop Turquoise,Silver Dots,Silver Plain,Violet Leopard,White Tiger",gouletpens.com
TWSBI Diamond 580ALR Fountain Pen - Prussian Blue,TW-M7447920,65.00,4.9,"Clear,Iris,Smoke RoseGold II,White RoseGold II,Silver,Black,Navy Blue,Nickel Gray,Prussian Blue,Sunset Yellow",gouletpens.com
TWSBI ECO Fountain Pen - Transparent Blue,TW-M7446860,32.99,,"Black,Caffè Bronze,Cerulean,Clear,Creme w/ RoseGold,Cerulean,Glow Green,Glow Purple,Heat,Indigo Blue,Persian Green,Smoke RoseGold,Blue,Purple,Yellow,White,White RoseGold",gouletpens.com
LAMY vista Fountain Pen,LMY-L12EF,29.60,4.8,"vista black,vista silver",gouletpens.com
TWSBI Diamond 580AL Fountain Pen - Silver,TW-M7444240,65.00,4.9,"Clear,Iris,Smoke RoseGold II,White RoseGold II,Silver,Black,Navy Blue,Nickel Gray,Prussian Blue,Sunset Yellow",gouletpens.com
Pilot Metropolitan Fountain Pen - Silver Plain,PN91113,25.42,4.9,"Black Crocodile,Black Plain,Bronze Lizard,Gold Plain,Gold Zig-Zag,Retro Pop Gray,Retro Pop Green,Retro Pop Orange,Retro Pop Purple,Retro Pop Red,Retro Pop Turquoise,Silver Dots,Silver Plain,Violet Leopard,White Tiger",gouletpens.com
Pilot Vanishing Point Fountain Pen - Black Matte,PN60579,168.00,4.9,"Black Carbonesque,Black Matte,Black/Gold,Black/Rhodium,Blue Carbonesque,Blue Matte,Blue/Gold,Blue/Rhodium,Gun Metal/Black,Gun Metal/Rhodium,Kanreki,Raden Galaxy,Raden Stripe,Raden Water Surface,Stripes,White/Black,Marble Black,Marble Blue,Marble Orange,Marble Red",gouletpens.com
Pilot Metropolitan Fountain Pen - Retro Pop Purple,PN91434,25.42,4.9,"Black Crocodile,Black Plain,Bronze Lizard,Gold Plain,Gold Zig-Zag,Retro Pop Gray,Retro Pop Green,Retro Pop Orange,Retro Pop Purple,Retro Pop Red,Retro Pop Turquoise,Silver Dots,Silver Plain,Violet Leopard,White Tiger",gouletpens.com
TWSBI Vac700R Fountain Pen - Clear,TW-M7445950,65.00,,"Clear,Iris",gouletpens.com
