product_title,product_id,product_price,product_rating,product_colors,product_site
Pilot Vanishing Point Decimo Fountain Pen - White - The Goulet Pen Company,PN19885,160.00,4.9,"Black,Burgundy,Champagne,Dark Grey,Navy,Purple,White",gouletpens.com
Sailor Pro Gear Slim Mini Fountain Pen - Zyne Pink - The Goulet Pen Company,SL-11-1503-331,220.00,,"Ayur Blue,Night Blue,Zyne Pink,Bleu Ciel,Bordeaux Fonce,Gris Fer",gouletpens.com
BENU Talisman Fountain Pen - Dream Bean - The Goulet Pen Company,BN-19-2-11-5-0-F,162.00,,"Cat's Eye,Dragon's Blood,Dream Bean,Edelweiss,Foxglove,Frankincense,Hanukkah Oil ,Hawk's Eye,Lily of the Incas,Mandrake,Peacock Ore,Tiger's Eye",gouletpens.com
Delta Duna Fountain Pen - Horizon Yellow - The Goulet Pen Company,DE78124-EF,156.00,4.9,"Horizon Yellow,Mirage Magenta,Oasis Blue,Reflex Grey",gouletpens.com
BENU Euphoria Fountain Pen - Christmas Twinkle (Limited Edition) - The Goulet Pen Company,BN-05-2-63-5-0-F,170.00,,"Bora Bora,Bourbon,Caviar,Christmas Twinkle,Draco Darling,Earl Grey,Easter Bunny,French Poetry,Hallowed Harvest,Iced Caramel Latte,Jazz,Love Story,Love's Little Lark,Neapolitan,Sangria,Steamboat Master,Vodka on the Rocks,Watermelon Mojito",gouletpens.com
Maiora Aventus Fountain Pen - Amore Red/Ruthenium - The Goulet Pen Company,MA-NE78087-B,158.00,4.9,Amore,gouletpens.com
Sailor Pro Gear Fountain Pen - Iris Nebula (Limited Edition) - The Goulet Pen Company,SL-11-4060-240,360.00,5.0,"Black/Silver,Blue Moon,Blue Quasar,Cantaloupe,Celestial Gray,Every Rose Has Its Thorn,Follow the Mermaid,Iris Nebula,Lucky Charm,Moonlight Over the Ocean,Northern Lights Blue,Ocean Water,Passion Fruit,Soul of Chess,Spring Sky,Wild Berry,Winter Sky",gouletpens.com
Diplomat Elox Fountain Pen - Matrix Orange/Black - The Goulet Pen Company,DP-D40364021,220.00,4.9,"Matrix Orange/Black,Ring Black/Blue,Ring Black/Purple",gouletpens.com
Pilot Kakuno Fountain Pen - Translucent Green - The Goulet Pen Company,PN19633,14.30,3.8,"Blue,Clear,Lime,Pink,Purple,Red,Translucent Aqua,Translucent Blue,Translucent Coral,Translucent Green,Translucent Pink,Turquoise",gouletpens.com
Pilot Custom 845 Urushi Fountain Pen - Vermillion - The Goulet Pen Company,PN15286,900.00,4.9,"Black,Vermillion",gouletpens.com
Pelikan M205 Fountain Pen - Rose Quartz (Special Edition) - The Goulet Pen Company,P823821,200.00,,"Copper Rose Gold,Orange Delight,Pastel Blue,Apatite,Rose Quartz",gouletpens.com
Sheaffer Icon Fountain Pen - Black/Red - The Goulet Pen Company,SH-E0910853,108.00,5.0,"Black/Red,Blue/Black",gouletpens.com
Esterbrook Estie Fountain Pen - Winter White - The Goulet Pen Company,ES-EWW4706-EF,175.50,,"Nebulous Plume,Botanical Gardens,Nouveau Bleu/Gold,Raven,Sea Glass/Gold,Winter White,Raven Piston,Winter White Piston",gouletpens.com
Pineider Avatar UR Twin Tank Touchdown Fountain Pen - Graphene Black - The Goulet Pen Company,PD-PP5601-421M,262.40,4.9,"Clear,Graphene Black",gouletpens.com
Diplomat Aero Fountain Pen - Lacquered White - The Goulet Pen Company,DP-D40321021,188.00,4.9,"Black,Flame,Green,Lacquered White,Midnight Blue,Orange,Oxyd Brass,Stripes Black",gouletpens.com
Visconti Van Gogh Fountain Pen - Oiran - The Goulet Pen Company,VI-KP12-22-FP-F,276.00,,"Café Terrace at Night,Flowering Plum Orchard,Oiran,Starry Night,Sunflowers,Wheatfield with Crows",gouletpens.com
Namiki Yukari Maki-e Fountain Pen - Herb Decoration - The Goulet Pen Company,PN63313,"1,500.00",,,gouletpens.com
Sailor Pro Gear Slim Solar Term Series Fountain Pen - Tako - The Goulet Pen Company,SL-11-8874-230,236.00,5.0,"First Snow,Autumn Drizzle,Black/Silver,Blue Quasar,Celestial Gray,Dragon Palace,Follow the Mermaid,Fuki,Grateful Crane,Hagi,Iris Nebula,Kamoshika,Kiku,Komakusa,LINE FRIENDS - CONY,Lucky Charm,Momo,Moonlight Over the Ocean,Nadeshiko,Northern Lights Blue,Princess Kaguya,Princess Koto,Princess Ochikubo,Princess Shirotae,Princess Uguisu,Spring Rain,Spring Sky,Summer Rain,Tako,Vega,Winter Rain,Winter Sky,Yuu-tsubame,Yuzuyu,Dianthus,Grass,Moss,Plum,Rabbit Ear Iris,Violet,Wisteria",gouletpens.com
